คลื่นความถี่ (MHz),ผู้ใช้คลื่นความถี่,การนำไปใช้งาน
122.8,"กระทรวงเกษตรและสหกรณ์, กรมฝนหลวงและการบินเกษตร, กรมฝนหลวงและการบินเกษตร","เพิ่มประสิทธิภาพความปลอดภัยในการเดินอากาศ, แจ้งเหตุอันตรายและความปลอดภัย, ภารกิจการบินฝนหลวง"
122.9,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
122.975,"บริษัท เชฟรอน ออฟชอร์ (ประเทศไทย) จำกัด, บริษัท เชฟรอน ออฟชอร์ (ประเทศไทย) จำกัด, บริษัท เชฟรอน ออฟชอร์ (ประเทศไทย) จำกัด",ติดต่อสื่อสารกับอากาศยาน
123.0,กรมการบินพลเรือน,ความถี่กลางสำหรับเครื่องบินนอกเขตควบคุม (Common Traffic Advisory Frequency: CTAF)
123.1,"บริษัท ปตท.สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน), บริษัท ปตท.สผ. เอนเนอร์ยี่ ดีเวลลอปเมนท์ จำกัด, บริษัท เชฟรอน ออฟชอร์ (ประเทศไทย) จำกัด, กรมสื่อสารทหารเรือ, บริษัท เชฟรอน ออฟชอร์ (ประเทศไทย) จำกัด, บริษัท ปตท.สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน)","ประสานงานค้นหาและช่วยเหลือผู้ประสบภัย, เครื่องบอกตำแหน่ง, ติดต่อสื่อสารทางด้านการบิน, ติดต่อสื่อสารในการสำรวจและผลิตปิโตรเลียม, ติดต่อสื่อสารกับอากาศยาน"
123.15,"กรมอุทยานแห่งชาติ สัตว์ป่าและพันธุ์พืช, กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม",ติดต่อสื่อสารราชการ
123.3,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
123.35,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
123.4,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
123.5,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
123.6,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
123.7,บริษัท บางกอกเอวิเอชั่นเซ็นเตอร์ จำกัด,ติดต่อสื่อสารกับอากาศยาน
123.8,กรมการทหารสื่อสาร กองทัพบก,ติดต่อสื่อสารกับอากาศยาน
123.9,นางเกษสุดา อะกิยามา,ติดต่อสื่อสารกับอากาศยานเพื่อความปลอดภัยในด้านการบินสำหรับฝึกบิน
123.95,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
124.0,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
124.025,กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ,ติดต่อสื่อสารในการปฏิบัติงาน
124.1,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
124.25,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
124.3,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
124.35,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
124.425,องค์การบริหารส่วนตำบลโนนอุดม,ประสานงานการแจ้งเหตุและช่วยเหลือผู้ประสบภัยสาธารณะ
124.45,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
124.5,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
124.7,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
125.1,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
125.2,"บริษัท วิทยุการบินแห่งประเทศไทย จำกัด, กรมการทหารสื่อสาร กองทัพบก","ติดต่อสื่อสารทางด้านการบิน, ติดต่อสื่อสารกับอากาศยาน"
125.29,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
125.3,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารภารกิจของบริษัท
125.4,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
125.5,"กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ, บริษัท วิทยุการบินแห่งประเทศไทย จำกัด, บริษัท วิทยุการบินแห่งประเทศไทย จำกัด, กรมสื่อสารอิเล็กทรอนิกส์ทหารอากาศ กองทัพอากาศ","ติดต่อสื่อสารในการปฏิบัติงาน, ควบคุมจราจรทางอากาศ, nan"
125.55,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
125.6,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
125.7,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
125.725,บริษัท วิทยุการบินแห่งประเทศไทย จำกัด,ติดต่อสื่อสารทางด้านการบิน
